brand,title,kilometer,gas_type,gear_box,year,price,ad_link,sv_avg_class,hp,cilinder
Abarth,Abarth 595 1.4 T-Jet Turismo,39000,petrol,manual,2021,25990,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-turismo-ID8PJDcv.html,0,165,1368
Abarth,Abarth Grande Punto 1.4 T-Jet 16V,128000,petrol,manual,2010,11490,https://www.standvirtual.com/carros/anuncio/abarth-grande-punto-1-4-t-jet-16v-ID8PKy4k.html,0,155,1368
Abarth,Abarth 595 1.4 T-Jet Competizione MTA,22000,petrol,auto,2021,26800,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-competizione-mta-ID8PLVVG.html,0,180,1368
Abarth,Abarth 695C 1.4 T-Jet Rivale,70000,petrol,manual,2019,28000,https://www.standvirtual.com/carros/anuncio/abarth-695c-1-4-t-jet-rivale-ID8PKVLi.html,0,180,1368
Abarth,Abarth 595C 1.4 T-Jet 595,47500,petrol,manual,2017,19990,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-595-ID8PJPbB.html,0,145,1368
Abarth,Abarth 595 1.4 T-Jet Competizione MTA,119000,petrol,auto,2015,18490,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-competizione-mta-ID8PIhDt.html,2,180,1368
Abarth,Abarth 595 1.4 T-Jet Turismo MTA,51000,petrol,auto,2018,19950,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-turismo-mta-ID8PDRdP.html,2,165,1368
Abarth,Abarth 595 1.4 T-Jet Turismo,104288,petrol,manual,2019,21000,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-turismo-ID8PKQhz.html,2,165,1368
Abarth,Abarth 500C 1.4 T-Jet,94980,petrol,manual,2014,16500,https://www.standvirtual.com/carros/anuncio/abarth-500c-1-4-t-jet-ID8PKKc9.html,0,135,1368
Abarth,Abarth 695C 1.4 T-Jet MTA,1100,petrol,auto,2024,35900,https://www.standvirtual.com/carros/anuncio/abarth-695c-1-4-t-jet-mta-ID8PKTiA.html,0,180,1368
Abarth,Abarth 695 1.4 T-Jet Esseesse,11484,petrol,manual,2022,33900,https://www.standvirtual.com/carros/anuncio/abarth-695-1-4-t-jet-esseesse-ID8PGb7Z.html,1,180,1368
Abarth,Abarth 695,70329,petrol,manual,2017,24950,https://www.standvirtual.com/carros/anuncio/abarth-695-ID8PKNwD.html,2,160,1368
Abarth,Abarth 500C 1.4 T-Jet Competizione,112000,petrol,auto,2010,12990,https://www.standvirtual.com/carros/anuncio/abarth-500c-1-4-t-jet-competizione-ID8PCccs.html,0,140,1368
Abarth,Abarth 595 Pista,119000,petrol,manual,2018,17650,https://www.standvirtual.com/carros/anuncio/abarth-595-pista-ID8PKsLg.html,0,160,1368
Abarth,Abarth 695 1.4 T-Jet Tributo 131 Rally,124,petrol,manual,2024,44000,https://www.standvirtual.com/carros/anuncio/abarth-695-1-4-t-jet-tributo-131-rally-ID8PK7J1.html,3,180,1368
Abarth,Abarth 595 1.4 T-Jet Competizione,103000,petrol,manual,2015,17990,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-competizione-ID8PL5lF.html,2,180,1368
Abarth,Abarth 595C 1.4 T-Jet 595 MTA,61000,petrol,auto,2018,23900,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-595-mta-ID8PH4yw.html,0,145,1368
Abarth,Abarth 595 1.4 T-Jet,85000,petrol,manual,2017,18900,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-ID8PHm9v.html,2,145,1368
Abarth,Abarth 695 1.4 T-Jet Tributo Ferrari MTA ,35000,petrol,auto,2010,35999,https://www.standvirtual.com/carros/anuncio/abarth-695-1-4-t-jet-tributo-ferrari-mta-ID8OpV13.html,0,180,1368
Abarth,Abarth 595 1.4 T-Jet Competizione,72000,petrol,manual,2020,21990,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-competizione-ID8PKVBl.html,1,180,1368
Abarth,Abarth 595C 1.4 T-Jet Turismo,87000,petrol,manual,2017,19500,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-turismo-ID8PIr6k.html,0,165,1368
Abarth,Abarth 595,52000,petrol,auto,2016,20990,https://www.standvirtual.com/carros/anuncio/abarth-595-ID8PKTUn.html,3,180,1368
Abarth,Abarth 595 1.4 T-Jet Custom,89700,petrol,manual,2016,15900,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-custom-ID8PL44G.html,2,140,1368
Abarth,Abarth 595 1.4 T-Jet Custom,40000,petrol,manual,2016,18950,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-custom-ID8PhQLR.html,2,140,1368
Abarth,Abarth 595C 1.4 T-Jet Turismo,60000,petrol,manual,2018,19990,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-turismo-ID8PFYEs.html,0,160,1368
